NickName,Province,City,Sex,Signature
Myself,江苏,南京,2,"Enjoy<span class=""emoji emoji1f49d""></span>"
Hansen,江苏,南京,1,每一天，为明天。自己是一切的根源！
Callie,Know City,,2,是该去远方放松下了
Camilla,江苏,南京,2,I will love you with every beat of my heart.
skyfeng,江苏,南京,1,面朝大海，春暖花开
Calvin,江苏,南京,1,农场主
Xue,江苏,南京,,青春是奔流的江河
Stone,陕西,西安,1,真正的生活
#,江苏,南京,1,
Caleb,Firenze,,1,这位童鞋很懒，这个签名想用一辈子。
Earl,江苏,南京,1,求知若渴，虚心若愚
Early,Hsinchu City,,1,开心 玩乐
Cara,湖南,株洲,2,连接理想与现实的基础是不辞辛苦的实践。
Cain,江苏,南京,1,这一生只愿只要平凡快乐，谁说这样不伟大呢
Dagmar,江苏,南京,2,平平淡淡才是真的生活
Leon,浙江,杭州,1,做什么都很专业
CD,江苏,南京,,忽然之间
Haley,上海,,1,内心强大，万事无忧
Sea,北京,朝阳,1,大人看利益，小孩看对错
Dahlia,江苏,南京,2,荣辱不惊，闲看庭前花开花落。去留无意，坐看天边云卷云舒。
Binco,江苏,南京,1,人生重要的不是所站的位置，而是所朝的方向。
Daisy,江苏,南京,2,自信，珍惜
Robert,江苏,南京,0,快乐永远
Abe,四川,成都,1,Enginerring Failure
Daryl,云南,昆明,2,自由是你不想做什么就不做什么。
Ablitt,,,1,好的心态最重要
Plus,四川,成都,1,可以平凡，绝不平庸
Larry,江苏,南京,1,欲速则不达
Eddie,上海,静安,1,不能在最该拼搏的年纪选择安逸
Eddy,陕西,西安,1,十份努力，一份收获
Davina,北京,海淀,2,人生如此，拿酒来
Debby,台湾,新竹,2,珍惜當下，全力以赴
Neo,浙江,绍兴,1,我希望没有人活在别人的希望里
Edward,上海,,1,Know yourself
Deborah,,,2,远离浮躁，拥抱平静！
Edwin,江苏,南京,1,人性而已，不多也不少
Egan,广东,深圳,1,求知若渴，虚心若愚
arrow,江苏,南京,1,思而有备，有备而无患
sky,江苏,南京,1,平淡是真
Liam,江苏,泰州,1,能居庙堂之高，能处江湖之远
ba,北京,东城,1,不是看到希望才努力，而是努力才会看到希望
Rain,广东,深圳,1,愿历经千帆，归来仍少年。
Carney,广东,深圳,1,技术改变世界
Carr,北京,海淀,1,但愿长醉不复醒
Carrol,广东,深圳,1,加持于心，不废于业
Carroll,河南,信阳,1,一念起生死相许，转眼间沧海桑田
Debra,安徽,淮北,2,90后国家二级退堂鼓演奏家
Deidre,江苏,南京,2,母亲就是心中的佛!  
Dailey,江西,南昌,1,这一生只愿只要平凡快乐
Dale,浙江,杭州,1,唯美人与美食不可辜负
